Title: multiplier's attenuator tension-power characteristics 

Date (mm/dd/yr): 10/09/24 
Freq: 90.0 GHz 

Tension(V) 	 Power(mW) 
5.000000 	 110.300000 
4.750000 	 109.380000 
4.500000 	 108.750000 
4.250000 	 107.700000 
4.000000 	 106.660000 
3.750000 	 105.350000 
3.500000 	 103.600000 
3.250000 	 101.240000 
3.000000 	 97.900000 
2.750000 	 92.980000 
2.500000 	 85.900000 
2.250000 	 76.880000 
2.000000 	 65.430000 
1.750000 	 50.980000 
1.700000 	 47.420000 
1.650000 	 43.520000 
1.600000 	 38.710000 
1.550000 	 33.350000 
1.500000 	 27.730000 
1.470000 	 24.340000 
1.450000 	 22.140000 
1.430000 	 19.990000 
1.400000 	 17.290000 
1.380000 	 15.190000 
1.350000 	 12.400000 
1.320000 	 9.947000 
1.300000 	 8.554000 
1.270000 	 10.200000 
1.250000 	 11.430000 
1.230000 	 11.600000 
1.210000 	 11.020000 
1.200000 	 10.580000 
1.180000 	 9.540000 
1.160000 	 8.375000 
1.150000 	 7.774000 
1.130000 	 6.533000 
1.110000 	 5.298000 
1.100000 	 4.689000 
1.070000 	 2.775000 
1.050000 	 1.463000 
1.020000 	 0.368000 
1.000000 	 0.243000 
0.970000 	 0.176829 
0.920000 	 0.059579 
0.870000 	 0.009134 
0.820000 	 0.003380 
0.770000 	 0.003065 
0.700000 	 0.002877 
0.600000 	 0.003045 
0.550000 	 0.008088 
0.500000 	 0.009348 
0.450000 	 0.002826 
0.350000 	 0.002526 
0.250000 	 0.002430 
0.150000 	 0.002369 
